Date Time,Station ID,Expected Station Size,Total Docks Installed,Number of Faulty Docks,Total Bikes At Station Per Model,Number of Available Bikes Per Model,Number of Inoperative Bikes Per Model,Geofence Occupancy Ratio,Geofence Capacity,Geofence Total Bikes,Geofence Available Bikes,Geofence Operative Bikes,Geofence Inoperative Bikes,Station Groups,Station Cluster,Station Crown
2025-11-30 00:01:54,43,19,15,0,"fit: 2, efit: 2","fit: 2, efit: 1",,,,0,0,0,0,2,,
2025-11-30 02:57:30,43,19,15,0,"fit: 2, efit: 2",fit: 2,,,,0,0,0,0,2,,
2025-11-30 15:05:03,43,19,15,0,"fit: 2, efit: 1",fit: 2,,,,0,0,0,0,2,,
2025-11-30 15:05:51,43,19,15,0,fit: 2,fit: 2,,,,0,0,0,0,2,,
2025-11-30 15:07:28,43,19,15,0,"fit: 2, efit: 2","fit: 2, efit: 2",,,,0,0,0,0,2,,
2025-11-30 23:18:55,43,19,15,0,"fit: 2, efit: 1","fit: 2, efit: 1",,,,0,0,0,0,2,,
2025-12-01 00:01:55,43,19,15,0,"fit: 2, efit: 1","fit: 2, efit: 1",,,,0,0,0,0,2,,
2025-12-01 12:03:36,43,19,15,0,"fit: 2, efit: 2","fit: 2, efit: 2",,,,0,0,0,0,2,,
2025-12-02 00:00:14,43,19,15,0,"fit: 2, efit: 2","fit: 2, efit: 2",,,,0,0,0,0,2,,
2025-12-02 02:12:22,43,19,15,0,"fit: 2, efit: 1","fit: 2, efit: 1",,,,0,0,0,0,2,,
2025-12-02 08:53:45,43,19,15,0,"fit: 2, efit: 1",fit: 2,,,,0,0,0,0,2,,
2025-12-02 11:49:22,43,19,15,0,"fit: 2, efit: 2","fit: 2, efit: 1",,,,0,0,0,0,2,,
2025-12-02 22:31:38,43,19,15,0,"fit: 2, efit: 1",fit: 2,,,,0,0,0,0,2,,
2025-12-03 00:01:57,43,19,15,0,"fit: 2, efit: 1",fit: 2,,,,0,0,0,0,2,,
2025-12-03 14:45:59,43,19,15,0,fit: 2,fit: 2,,,,0,0,0,0,2,,
2025-12-03 14:48:09,43,19,15,0,"fit: 2, efit: 1","fit: 2, efit: 1",,,,0,0,0,0,2,,
2025-12-04 00:01:00,43,19,15,0,"fit: 2, efit: 1","fit: 2, efit: 1",,,,0,0,0,0,2,,
2025-12-05 00:00:11,43,19,15,0,"fit: 2, efit: 1","fit: 2, efit: 1",,,,0,0,0,0,2,,
2025-12-06 00:00:16,43,19,15,0,"fit: 2, efit: 1","fit: 2, efit: 1",,,,0,0,0,0,2,,
2025-12-07 00:00:16,43,19,15,0,"fit: 2, efit: 1","fit: 2, efit: 1",,,,0,0,0,0,2,,
2025-12-08 00:00:20,43,19,15,0,"fit: 2, efit: 1","fit: 2, efit: 1",,,,0,0,0,0,2,,
2025-12-08 09:03:39,43,19,15,0,"fit: 2, efit: 2","fit: 2, efit: 2",,,,0,0,0,0,2,,
2025-12-09 00:00:29,43,19,15,0,"fit: 2, efit: 2","fit: 2, efit: 2",,,,0,0,0,0,2,,
2025-12-10 00:00:30,43,19,15,0,"fit: 2, efit: 2","fit: 2, efit: 2",,,,0,0,0,0,2,,
2025-12-10 19:34:33,43,19,15,0,"fit: 2, efit: 2","fit: 2, efit: 1",,,,0,0,0,0,2,,
