Date Time,Station ID,Expected Station Size,Total Docks Installed,Number of Faulty Docks,Total Bikes At Station Per Model,Number of Available Bikes Per Model,Number of Inoperative Bikes Per Model,Geofence Occupancy Ratio,Geofence Capacity,Geofence Total Bikes,Geofence Available Bikes,Geofence Operative Bikes,Geofence Inoperative Bikes,Station Groups,Station Cluster,Station Crown
2025-11-30 00:01:54,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-11-30 10:25:14,56,15,15,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-11-30 12:47:02,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-01 00:01:55,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-01 08:58:11,56,15,15,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-01 09:28:15,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-02 00:00:14,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-02 03:32:39,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-02 11:49:22,56,15,15,0,"fit: 4, efit: 2","fit: 4, efit: 1",,,,0,0,0,0,2,,
2025-12-02 11:50:38,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-02 13:39:45,56,15,15,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-02 13:40:58,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-03 00:01:57,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-04 00:01:00,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-04 08:59:14,56,15,15,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-04 09:19:17,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-04 23:10:01,56,15,15,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-05 00:00:11,56,15,15,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-05 00:52:49,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-05 08:26:56,56,15,15,0,"fit: 5, efit: 2",fit: 5,,,,0,0,0,0,2,,
2025-12-05 14:03:08,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-05 14:08:09,56,15,15,0,"fit: 5, efit: 5","fit: 5, efit: 5",,,,0,0,0,0,2,,
2025-12-06 00:00:16,56,15,15,0,"fit: 5, efit: 5","fit: 5, efit: 5",,,,0,0,0,0,2,,
2025-12-06 14:01:21,56,15,15,0,"fit: 5, efit: 4","fit: 5, efit: 4",,,,0,0,0,0,2,,
2025-12-07 00:00:16,56,15,15,0,"fit: 5, efit: 4","fit: 5, efit: 4",,,,0,0,0,0,2,,
2025-12-07 01:00:28,56,15,15,0,"fit: 5, efit: 4","fit: 5, efit: 3",,,,0,0,0,0,2,,
2025-12-07 01:04:22,56,15,15,0,"fit: 5, efit: 4","fit: 5, efit: 4",,,,0,0,0,0,2,,
2025-12-08 00:00:20,56,15,15,0,"fit: 5, efit: 4","fit: 5, efit: 4",,,,0,0,0,0,2,,
2025-12-09 00:00:30,56,15,15,0,"fit: 5, efit: 4","fit: 5, efit: 4",,,,0,0,0,0,2,,
2025-12-09 07:51:46,56,15,15,0,"fit: 5, efit: 3","fit: 5, efit: 3",,,,0,0,0,0,2,,
2025-12-10 00:00:30,56,15,15,0,"fit: 5, efit: 3","fit: 5, efit: 3",,,,0,0,0,0,2,,
2025-12-10 16:03:36,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-11 00:00:27,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-11 08:11:26,56,15,15,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-11 11:42:03,56,15,15,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-11 14:27:34,56,15,15,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-12 00:02:32,56,15,15,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-13 00:01:01,56,15,15,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
