Date Time,Station ID,Expected Station Size,Total Docks Installed,Number of Faulty Docks,Total Bikes At Station Per Model,Number of Available Bikes Per Model,Number of Inoperative Bikes Per Model,Geofence Occupancy Ratio,Geofence Capacity,Geofence Total Bikes,Geofence Available Bikes,Geofence Operative Bikes,Geofence Inoperative Bikes,Station Groups,Station Cluster,Station Crown
2025-11-30 00:01:54,42,19,19,0,"fit: 5, efit: 6","fit: 5, efit: 5",,,,0,0,0,0,2,,
2025-11-30 00:09:46,42,19,19,0,"fit: 5, efit: 6","fit: 5, efit: 4",,,,0,0,0,0,2,,
2025-11-30 15:15:05,42,19,19,0,"fit: 5, efit: 6","fit: 5, efit: 6",,,,0,0,0,0,2,,
2025-11-30 17:27:53,42,19,19,0,"fit: 5, efit: 7","fit: 5, efit: 7",,,,0,0,0,0,2,,
2025-12-01 00:01:55,42,19,19,0,"fit: 5, efit: 7","fit: 5, efit: 7",,,,0,0,0,0,2,,
2025-12-01 22:46:40,42,19,19,0,"fit: 5, efit: 7","fit: 5, efit: 6",,,,0,0,0,0,2,,
2025-12-02 00:00:14,42,19,19,0,"fit: 5, efit: 7","fit: 5, efit: 6",,,,0,0,0,0,2,,
2025-12-02 15:20:07,42,19,19,0,"fit: 5, efit: 7","fit: 5, efit: 7",,,,0,0,0,0,2,,
2025-12-03 00:01:57,42,19,19,0,"fit: 5, efit: 7","fit: 5, efit: 7",,,,0,0,0,0,2,,
2025-12-04 00:01:00,42,19,19,0,"fit: 5, efit: 7","fit: 5, efit: 7",,,,0,0,0,0,2,,
2025-12-05 00:00:11,42,19,19,0,"fit: 5, efit: 7","fit: 5, efit: 7",,,,0,0,0,0,2,,
2025-12-06 00:00:16,42,19,19,0,"fit: 5, efit: 7","fit: 5, efit: 7",,,,0,0,0,0,2,,
2025-12-06 10:02:21,42,19,19,0,"fit: 4, efit: 7","fit: 4, efit: 7",,,,0,0,0,0,2,,
2025-12-06 10:05:39,42,19,19,0,"fit: 5, efit: 3","fit: 5, efit: 3",,,,0,0,0,0,2,,
2025-12-06 10:07:22,42,19,19,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-07 00:00:16,42,19,19,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-08 00:00:20,42,19,19,0,"fit: 5, efit: 2","fit: 5, efit: 2",,,,0,0,0,0,2,,
2025-12-08 12:58:05,42,19,19,0,"fit: 5, efit: 3","fit: 5, efit: 2",efit: 1,,,0,0,0,0,2,,
2025-12-08 12:59:11,42,19,19,0,"fit: 5, efit: 2","fit: 5, efit: 1",efit: 1,,,0,0,0,0,2,,
2025-12-09 00:00:29,42,19,19,0,"fit: 5, efit: 2","fit: 5, efit: 1",efit: 1,,,0,0,0,0,2,,
2025-12-09 14:12:39,42,19,19,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-09 19:43:25,42,19,19,0,"fit: 5, efit: 1",fit: 5,,,,0,0,0,0,2,,
2025-12-10 00:00:30,42,19,19,0,"fit: 5, efit: 1",fit: 5,,,,0,0,0,0,2,,
2025-12-10 16:21:17,42,19,19,0,fit: 5,fit: 5,,,,0,0,0,0,2,,
2025-12-11 00:00:27,42,19,19,0,fit: 5,fit: 5,,,,0,0,0,0,2,,
2025-12-12 00:02:32,42,19,19,0,fit: 5,fit: 5,,,,0,0,0,0,2,,
2025-12-13 00:01:01,42,19,19,0,fit: 5,fit: 5,,,,0,0,0,0,2,,
2025-12-14 00:00:34,42,19,19,0,fit: 5,fit: 5,,,,0,0,0,0,2,,
2025-12-15 00:01:19,42,19,19,0,fit: 5,fit: 5,,,,0,0,0,0,2,,
2025-12-16 00:02:02,42,19,19,0,fit: 5,fit: 5,,,,0,0,0,0,2,,
2025-12-17 00:00:47,42,19,19,0,fit: 5,fit: 5,,,,0,0,0,0,2,,
2025-12-18 00:01:53,42,19,19,0,fit: 5,fit: 5,,,,0,0,0,0,2,,
2025-12-18 16:47:07,42,19,19,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-19 00:01:04,42,19,19,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-20 00:00:01,42,19,19,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-21 00:00:31,42,19,19,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-22 00:01:04,42,19,19,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-23 00:00:55,42,19,19,0,"fit: 5, efit: 1","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-23 20:30:02,42,19,19,0,"fit: 5, efit: 1",fit: 5,,,,0,0,0,0,2,,
2025-12-24 00:00:37,42,19,19,0,"fit: 5, efit: 1",fit: 5,,,,0,0,0,0,2,,
2025-12-24 18:33:36,42,19,19,0,"fit: 5, efit: 2","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-25 00:00:25,42,19,19,0,"fit: 5, efit: 2","fit: 5, efit: 1",,,,0,0,0,0,2,,
2025-12-25 10:26:12,42,19,19,0,"fit: 5, efit: 2",fit: 5,,,,0,0,0,0,2,,
2025-12-25 20:29:31,42,19,19,0,"fit: 5, efit: 2",fit: 5,efit: 1,,,0,0,0,0,2,,
2025-12-26 00:00:14,42,19,19,0,"fit: 5, efit: 2",fit: 5,efit: 1,,,0,0,0,0,2,,
