Date Time,Station ID,Expected Station Size,Total Docks Installed,Number of Faulty Docks,Total Bikes At Station Per Model,Number of Available Bikes Per Model,Number of Inoperative Bikes Per Model,Geofence Occupancy Ratio,Geofence Capacity,Geofence Total Bikes,Geofence Available Bikes,Geofence Operative Bikes,Geofence Inoperative Bikes,Station Groups,Station Cluster,Station Crown
2025-11-30 00:01:54,54,19,19,0,"fit: 5, efit: 4","fit: 5, efit: 4",,,,0,0,0,0,2,,
2025-11-30 08:58:46,54,19,19,0,"fit: 5, efit: 3","fit: 5, efit: 3",,,,0,0,0,0,2,,
2025-11-30 09:23:51,54,19,19,0,"fit: 5, efit: 4","fit: 5, efit: 4",,,,0,0,0,0,2,,
2025-11-30 11:26:48,54,19,19,0,"fit: 5, efit: 4","fit: 5, efit: 3",,,,0,0,0,0,2,,
2025-11-30 11:29:17,54,19,19,0,"fit: 5, efit: 4","fit: 5, efit: 4",,,,0,0,0,0,2,,
2025-11-30 16:57:48,54,19,19,0,"fit: 5, efit: 3","fit: 5, efit: 3",,,,0,0,0,0,2,,
2025-11-30 17:15:31,54,19,19,0,"fit: 7, efit: 1","fit: 7, efit: 1",,,,0,0,0,0,2,,
2025-11-30 22:46:39,54,19,19,0,fit: 7,fit: 7,,,,0,0,0,0,2,,
2025-12-01 00:01:55,54,19,19,0,fit: 7,fit: 7,,,,0,0,0,0,2,,
2025-12-02 00:00:14,54,19,19,0,fit: 7,fit: 7,,,,0,0,0,0,2,,
2025-12-03 00:01:57,54,19,19,0,fit: 7,fit: 7,,,,0,0,0,0,2,,
2025-12-03 12:20:32,54,19,19,0,fit: 6,fit: 6,,,,0,0,0,0,2,,
2025-12-04 00:01:00,54,19,19,0,fit: 6,fit: 6,,,,0,0,0,0,2,,
2025-12-04 09:30:43,54,19,18,0,fit: 6,fit: 6,,,,0,0,0,0,2,,
2025-12-04 09:34:20,54,19,18,0,fit: 5,fit: 5,,,,0,0,0,0,2,,
2025-12-04 09:47:12,54,19,19,0,fit: 6,fit: 6,,,,0,0,0,0,2,,
2025-12-04 09:59:24,54,19,19,1,fit: 6,fit: 6,,,,0,0,0,0,2,,
2025-12-04 10:00:47,54,19,19,0,fit: 6,fit: 6,,,,0,0,0,0,2,,
2025-12-05 00:00:11,54,19,19,0,fit: 6,fit: 6,,,,0,0,0,0,2,,
2025-12-06 00:00:16,54,19,19,0,fit: 6,fit: 6,,,,0,0,0,0,2,,
2025-12-06 11:05:50,54,19,19,0,"fit: 6, efit: 1","fit: 6, efit: 1",,,,0,0,0,0,2,,
2025-12-06 12:36:06,54,19,19,0,"fit: 6, efit: 2","fit: 6, efit: 2",,,,0,0,0,0,2,,
2025-12-06 22:54:05,54,19,19,0,"fit: 6, efit: 1","fit: 6, efit: 1",,,,0,0,0,0,2,,
2025-12-07 00:00:16,54,19,19,0,"fit: 6, efit: 1","fit: 6, efit: 1",,,,0,0,0,0,2,,
2025-12-07 10:07:24,54,19,19,0,fit: 6,fit: 6,,,,0,0,0,0,2,,
2025-12-07 14:26:12,54,19,19,0,"fit: 6, efit: 1","fit: 6, efit: 1",,,,0,0,0,0,2,,
