Date Time,Station ID,Expected Station Size,Total Docks Installed,Number of Faulty Docks,Total Bikes At Station Per Model,Number of Available Bikes Per Model,Number of Inoperative Bikes Per Model,Geofence Occupancy Ratio,Geofence Capacity,Geofence Total Bikes,Geofence Available Bikes,Geofence Operative Bikes,Geofence Inoperative Bikes,Station Groups,Station Cluster,Station Crown
2025-11-30 00:01:54,45,15,15,0,"fit: 1, efit: 8","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-11-30 10:34:06,45,15,15,0,"fit: 1, efit: 7","fit: 1, efit: 7",,,,0,0,0,0,2,,
2025-12-01 00:01:55,45,15,15,0,"fit: 1, efit: 7","fit: 1, efit: 7",,,,0,0,0,0,2,,
2025-12-01 13:56:37,45,15,15,0,"fit: 1, efit: 8","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-12-02 00:00:14,45,15,15,0,"fit: 1, efit: 8","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-12-02 12:26:54,45,15,15,0,"fit: 1, efit: 8","fit: 1, efit: 7",,,,0,0,0,0,2,,
2025-12-02 14:04:50,45,15,15,0,"fit: 1, efit: 8","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-12-02 20:06:07,45,15,15,0,"fit: 1, efit: 9","fit: 1, efit: 9",,,,0,0,0,0,2,,
2025-12-02 20:07:10,45,15,15,0,"fit: 1, efit: 8","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-12-03 00:01:57,45,15,15,0,"fit: 1, efit: 8","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-12-03 11:32:42,45,15,15,0,"fit: 1, efit: 9","fit: 1, efit: 9",,,,0,0,0,0,2,,
2025-12-03 23:52:36,45,15,15,0,"fit: 1, efit: 9","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-12-04 00:01:00,45,15,15,0,"fit: 1, efit: 9","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-12-04 06:48:50,45,15,15,0,"fit: 1, efit: 9","fit: 1, efit: 7",,,,0,0,0,0,2,,
2025-12-04 11:09:37,45,15,15,0,"fit: 1, efit: 8","fit: 1, efit: 7",,,,0,0,0,0,2,,
2025-12-04 11:10:57,45,15,15,0,"fit: 1, efit: 8","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-12-04 11:15:58,45,15,15,0,"fit: 1, efit: 9","fit: 1, efit: 9",,,,0,0,0,0,2,,
2025-12-04 21:51:33,45,15,15,0,"fit: 1, efit: 9","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-12-05 00:00:11,45,15,15,0,"fit: 1, efit: 9","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-12-05 11:44:00,45,15,15,0,"fit: 1, efit: 8","fit: 1, efit: 8",,,,0,0,0,0,2,,
2025-12-05 11:47:39,45,15,15,0,"fit: 1, efit: 6","fit: 1, efit: 6",,,,0,0,0,0,2,,
2025-12-05 18:57:57,45,15,15,0,"fit: 1, efit: 7","fit: 1, efit: 7",,,,0,0,0,0,2,,
2025-12-06 00:00:16,45,15,15,0,"fit: 1, efit: 7","fit: 1, efit: 7",,,,0,0,0,0,2,,
